Model,RMSE,MAE,MAPE (%)
RNN,0.24258066768951903,0.17817045204884752,60.62199041710712
LSTM,0.24323043281394752,0.1821103495167222,60.79956214695823
GRU,0.24383121041827535,0.17921593757002022,61.59336989779476
MLP,0.2463412051118022,0.1846758859294714,61.30667887430384
